2025-02-19 15:41:36,305 [INFO] Using device: mps
2025-02-19 15:41:36,305 [INFO] Loading tokenized train/valid sets from disk...
2025-02-19 15:41:36,319 [INFO] Train samples: 3668, Valid samples: 408
2025-02-19 15:41:36,735 [INFO] Measuring Time to First Training Step (TTFT)...
2025-02-19 15:41:37,465 [INFO] TTFT finished: 721.62 ms, initial loss=1.0227
2025-02-19 15:41:37,466 [INFO] 
===== Epoch 1/3 =====
2025-02-19 15:42:05,733 [INFO]   [Epoch 1, Batch 97] loss=0.7431, step_time=0.28s, tokens=1024
2025-02-19 15:42:06,013 [INFO]   [Epoch 1, Batch 98] loss=0.7426, step_time=0.27s, tokens=1024
2025-02-19 15:42:06,292 [INFO]   [Epoch 1, Batch 99] loss=0.4100, step_time=0.27s, tokens=1024
2025-02-19 15:42:06,569 [INFO]   [Epoch 1, Batch 100] loss=0.6072, step_time=0.27s, tokens=1024
2025-02-19 15:42:06,848 [INFO]   [Epoch 1, Batch 101] loss=0.3040, step_time=0.27s, tokens=1024
2025-02-19 15:42:07,127 [INFO]   [Epoch 1, Batch 102] loss=0.7997, step_time=0.27s, tokens=1024
2025-02-19 15:42:07,408 [INFO]   [Epoch 1, Batch 103] loss=0.5358, step_time=0.28s, tokens=1024
2025-02-19 15:42:07,684 [INFO]   [Epoch 1, Batch 104] loss=0.7345, step_time=0.27s, tokens=1024
2025-02-19 15:42:07,962 [INFO]   [Epoch 1, Batch 105] loss=0.6373, step_time=0.27s, tokens=1024
2025-02-19 15:42:08,241 [INFO]   [Epoch 1, Batch 106] loss=0.6302, step_time=0.27s, tokens=1024
2025-02-19 15:42:08,520 [INFO]   [Epoch 1, Batch 107] loss=0.4853, step_time=0.27s, tokens=1024
2025-02-19 15:42:08,800 [INFO]   [Epoch 1, Batch 108] loss=0.6581, step_time=0.28s, tokens=1024
2025-02-19 15:42:09,077 [INFO]   [Epoch 1, Batch 109] loss=0.6067, step_time=0.27s, tokens=1024
2025-02-19 15:42:09,354 [INFO]   [Epoch 1, Batch 110] loss=0.7296, step_time=0.27s, tokens=1024
2025-02-19 15:42:09,637 [INFO]   [Epoch 1, Batch 111] loss=0.6197, step_time=0.28s, tokens=1024
2025-02-19 15:42:09,916 [INFO]   [Epoch 1, Batch 112] loss=0.6162, step_time=0.27s, tokens=1024
2025-02-19 15:42:10,192 [INFO]   [Epoch 1, Batch 113] loss=0.6422, step_time=0.27s, tokens=1024
2025-02-19 15:42:10,470 [INFO]   [Epoch 1, Batch 114] loss=0.6790, step_time=0.27s, tokens=1024
2025-02-19 15:42:10,747 [INFO]   [Epoch 1, Batch 115] loss=0.5917, step_time=0.27s, tokens=1024
2025-02-19 15:42:11,027 [INFO]   [Epoch 1, Batch 116] loss=0.6821, step_time=0.27s, tokens=1024
2025-02-19 15:42:11,305 [INFO]   [Epoch 1, Batch 117] loss=0.5509, step_time=0.27s, tokens=1024
2025-02-19 15:42:11,584 [INFO]   [Epoch 1, Batch 118] loss=0.6986, step_time=0.28s, tokens=1024
2025-02-19 15:42:11,862 [INFO]   [Epoch 1, Batch 119] loss=0.3544, step_time=0.27s, tokens=1024
2025-02-19 15:42:12,149 [INFO]   [Epoch 1, Batch 120] loss=0.3354, step_time=0.28s, tokens=1024
2025-02-19 15:42:12,426 [INFO]   [Epoch 1, Batch 121] loss=0.7148, step_time=0.27s, tokens=1024
2025-02-19 15:42:12,704 [INFO]   [Epoch 1, Batch 122] loss=0.3989, step_time=0.27s, tokens=1024
2025-02-19 15:42:12,983 [INFO]   [Epoch 1, Batch 123] loss=0.4074, step_time=0.27s, tokens=1024
2025-02-19 15:42:13,259 [INFO]   [Epoch 1, Batch 124] loss=0.7199, step_time=0.27s, tokens=1024
2025-02-19 15:42:13,539 [INFO]   [Epoch 1, Batch 125] loss=0.5319, step_time=0.28s, tokens=1024
2025-02-19 15:42:13,817 [INFO]   [Epoch 1, Batch 126] loss=0.2319, step_time=0.27s, tokens=1024
2025-02-19 15:42:14,095 [INFO]   [Epoch 1, Batch 127] loss=0.4307, step_time=0.27s, tokens=1024
2025-02-19 15:42:14,373 [INFO]   [Epoch 1, Batch 128] loss=0.6346, step_time=0.27s, tokens=1024
2025-02-19 15:42:14,650 [INFO]   [Epoch 1, Batch 129] loss=0.6089, step_time=0.27s, tokens=1024
2025-02-19 15:42:14,931 [INFO]   [Epoch 1, Batch 130] loss=0.7178, step_time=0.27s, tokens=1024
2025-02-19 15:42:15,210 [INFO]   [Epoch 1, Batch 131] loss=0.3639, step_time=0.27s, tokens=1024
2025-02-19 15:42:15,488 [INFO]   [Epoch 1, Batch 132] loss=0.5722, step_time=0.27s, tokens=1024
2025-02-19 15:42:15,768 [INFO]   [Epoch 1, Batch 133] loss=0.6774, step_time=0.28s, tokens=1024
